Source apportionment for 150 cities
commit BD handover version 23 March 2020
emissions cdf = ../20220601_01_005/BCemis_emepV434_camsV42_01_005_bugSOxGNFr3ok.nc
concentrations cdf = ../20220601_01_005/BCconc_emepV434_camsv42_01005_SURF_ug_PM25_rh50.nc
model folder = ../20220601_01_005/SR_SURF_ug_PM25_rh50.nc
model;pollutant;target;source;snap;precursor;potential;relative_potential;potency;target_conc_basecase;delta_conc;DE
sherpa_camsV42_01_005;PM25;Cardiff;UK_International;8;NOx;2.004303e-03;3.498241e-02;2.888134e-08;5.729458e+00;1.002151e-03;3.469891e+04
sherpa_camsV42_01_005;PM25;Cardiff;UK_International;8;PPM25;1.945406e-04;3.395445e-03;8.761948e-08;5.729458e+00;9.727030e-05;1.110145e+03
sherpa_camsV42_01_005;PM25;Cardiff;UK_International;8;SOx;4.953771e-04;8.646142e-03;1.197061e-07;5.729458e+00;2.476886e-04;2.069139e+03
sherpa_camsV42_01_005;PM25;Cardiff;UK_International;9;NH3;3.264284e-05;5.697369e-04;1.135182e-08;5.729458e+00;1.632142e-05;1.437780e+03
sherpa_camsV42_01_005;PM25;Cardiff;UK_International;9;NMVOC;-4.550795e-04;-7.942801e-03;-1.978235e-09;5.729458e+00;-2.275397e-04;1.150216e+05
sherpa_camsV42_01_005;PM25;Cardiff;UK_International;9;NOx;1.456937e-02;2.542888e-01;1.589701e-08;5.729458e+00;7.284685e-03;4.582423e+05
sherpa_camsV42_01_005;PM25;Cardiff;UK_International;9;PPM25;7.531996e-03;1.314609e-01;9.999857e-08;5.729458e+00;3.765998e-03;3.766052e+04
sherpa_camsV42_01_005;PM25;Cardiff;UK_International;9;SOx;3.164593e-04;5.523373e-03;1.623215e-08;5.729458e+00;1.582297e-04;9.747919e+03
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;10;NH3;3.193802e-03;3.458298e-02;1.918996e-04;9.235185e+00;1.596901e-03;8.321547e+00
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;10;NMVOC;7.476828e-05;8.096025e-04;2.429212e-06;9.235185e+00;3.738414e-05;1.538941e+01
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;10;NOx;8.240932e-05;8.923407e-04;3.174601e-05;9.235185e+00;4.120466e-05;1.297948e+00
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;10;PPM25;6.151461e-03;6.660896e-02;4.832824e-04;9.235185e+00;3.075730e-03;6.364250e+00
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;10;SOx;6.393869e-05;6.923380e-04;8.095431e-05;9.235185e+00;3.196935e-05;3.949060e-01
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;11;NH3;4.261661e-03;4.614592e-02;1.011019e-04;9.235185e+00;2.130830e-03;2.107606e+01
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;11;NMVOC;0.000000e+00;0.000000e+00;nan;9.235185e+00;0.000000e+00;nan
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;11;NOx;0.000000e+00;0.000000e+00;nan;9.235185e+00;0.000000e+00;nan
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;11;PPM25;3.873935e-05;4.194756e-04;2.138901e-04;9.235185e+00;1.936967e-05;9.055901e-02
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;11;SOx;0.000000e+00;0.000000e+00;nan;9.235185e+00;0.000000e+00;nan
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;12;NH3;1.279832e-02;1.385822e-01;1.245628e-04;9.235185e+00;6.399160e-03;5.137296e+01
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;12;NMVOC;6.284852e-05;6.805334e-04;1.663317e-06;9.235185e+00;3.142426e-05;1.889253e+01
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;12;NOx;4.175525e-08;4.521323e-07;2.270932e-05;9.235185e+00;2.087763e-08;9.193419e-04
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;12;PPM25;5.838415e-05;6.321925e-04;3.222489e-04;9.235185e+00;2.919207e-05;9.058860e-02
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;12;SOx;1.454029e-08;1.574445e-07;5.820996e-05;9.235185e+00;7.270143e-09;1.248952e-04
sherpa_camsV42_01_005;PM25;Den Haag;Den Haag_City;1;NH3;8.485517e-05;9.188248e-04;2.679889e-04;9.235185e+00;4.242758e-05;1.583185e-01
