Source apportionment for 150 cities
commit BD handover version 23 March 2020
emissions cdf = ../20210325_SRR/1_base_emissions/BCemis_emepV434_camsV42_pm25_no2_o3.nc
concentrations cdf = ../20210325_SRR/2_base_concentrations/BCconc_emepV434_camsv42_SURF_ug_PM25_rh50.nc
model folder = ../20210325_SRR/3_source_receptors/SR_SURF_ug_PM25_rh50.nc
model;pollutant;target;source;snap;precursor;potential;relative_potential;potency;target_conc_basecase;delta_conc;DE
sherpa_camsV42;PM25;Cardiff;Cardiff_National;9;NMVOC;-2.486076e-03;-3.918351e-02;-1.122411e-07;6.344700e+00;-1.243038e-03;1.107471e+04
sherpa_camsV42;PM25;Cardiff;Cardiff_National;9;NOx;6.766044e-02;1.066409e+00;7.258404e-07;6.344700e+00;3.383022e-02;4.660834e+04
sherpa_camsV42;PM25;Cardiff;Cardiff_National;9;PPM;3.294966e-02;5.193257e-01;4.923767e-06;6.344700e+00;1.647483e-02;3.345981e+03
sherpa_camsV42;PM25;Cardiff;Cardiff_National;9;SOx;3.785799e-03;5.966869e-02;2.246249e-06;6.344700e+00;1.892899e-03;8.426937e+02
sherpa_camsV42;PM25;Cardiff;UK_International;10;NH3;9.507813e-03;1.498544e-01;2.109015e-07;6.344700e+00;4.753906e-03;2.254089e+04
sherpa_camsV42;PM25;Cardiff;UK_International;10;NMVOC;-2.590354e-04;-4.082705e-03;-1.506334e-09;6.344700e+00;-1.295177e-04;8.598202e+04
sherpa_camsV42;PM25;Cardiff;UK_International;10;NOx;3.332025e-04;5.251667e-03;6.195595e-09;6.344700e+00;1.666013e-04;2.689028e+04
sherpa_camsV42;PM25;Cardiff;UK_International;10;PPM;5.839624e-03;9.203941e-02;4.906184e-08;6.344700e+00;2.919812e-03;5.951290e+04
sherpa_camsV42;PM25;Cardiff;UK_International;10;SOx;1.248914e-04;1.968436e-03;3.160702e-08;6.344700e+00;6.244569e-05;1.975690e+03
sherpa_camsV42;PM25;Cardiff;UK_International;11;NH3;3.284958e-01;5.177483e+00;1.383453e-07;6.344700e+00;1.642479e-01;1.187231e+06
sherpa_camsV42;PM25;Cardiff;UK_International;11;NMVOC;0.000000e+00;0.000000e+00;nan;6.344700e+00;0.000000e+00;nan
sherpa_camsV42;PM25;Cardiff;UK_International;11;NOx;0.000000e+00;0.000000e+00;0.000000e+00;6.344700e+00;0.000000e+00;1.204507e+03
sherpa_camsV42;PM25;Cardiff;UK_International;11;PPM;1.793481e-03;2.826739e-02;4.751057e-08;6.344700e+00;8.967406e-04;1.887455e+04
sherpa_camsV42;PM25;Cardiff;UK_International;11;SOx;0.000000e+00;0.000000e+00;nan;6.344700e+00;0.000000e+00;nan
